aggrv,m6,m7,m8,m9,m10
1,9.709197791286195,5.063942179913862,2.914267128269649,6.235641984906765,10.75878893022557
2,9.23490503997192,3.213544543210973,1.9849464073260559,4.053890102522967,9.208393330971042
3,9.051756086310244,2.709033143322669,1.7332595027159314,2.7570004445885625,8.9452688689673
4,8.653805016489153,2.1712770508284027,1.6004716113475024,2.2055325377979087,7.9007845311808325
5,8.392701725741063,1.9529630092164199,1.5161477874455933,2.1474333319337817,6.658209070985549
6,8.046942428611798,1.8237403711267812,1.4656083117132521,1.9920702170851272,6.429838620081012
7,7.629671437214355,1.76483054660731,1.4186566216237098,1.7472552374291688,5.193464229186828
8,9.096107483841557,1.7110136775786076,1.388856454327307,1.6389837550652402,4.670937048018069
9,9.080582648545894,1.6253523190919559,1.3628415437712882,1.655757419303695,3.650917055778633
10,6.643863865738737,1.5682763631708136,1.3407186725576397,1.6345370424416883,4.055470686527446
11,8.60409129871868,1.560571951891913,1.3296163510475023,1.4966363508617326,2.652530295284909
12,8.598009336440615,1.5188828302866058,1.3072257722468708,1.4819595811148676,2.615691300828235
13,8.588725337587684,1.4965166500773681,1.2905959442877004,1.48219065969772,2.5123200283868057
14,5.153498184516813,1.465702959153944,1.2800634787207232,1.4746222873467971,2.625313257345668
15,4.930179985031253,1.4342021004936294,1.2696523010202019,1.5065368715522056,2.8719363496971164
16,7.155742559609031,1.4947668327704051,1.2570344559247268,1.3512320763334136,1.8529770945303508
17,7.153101783837092,1.4663489816476616,1.2481398159899648,1.3394393608899222,1.8425051558732632
18,7.148849256360669,1.4417838835185224,1.2407220135048629,1.3370541477330897,1.8328374318290188
19,7.14680022570208,1.4039730490136344,1.2355344260933974,1.3341380411243149,1.8328374318290188
20,7.143735975118424,1.383007218675299,1.2303352392653393,1.3310346323331828,1.8067853252966586
21,7.141815038191371,1.3643216977863422,1.225338093739773,1.3250696670858382,1.8067853252966586
22,7.13755864928504,1.3527106856341822,1.2220582108522426,1.3212942571494988,1.8067853252966586
23,7.1344289703437616,1.3353050597613783,1.2171345188191207,1.3114183150008571,1.8067853252966586
24,7.133047546069496,1.3255646192351112,1.2071224802605256,1.308881709427134,1.7984149539839995
25,7.1316170389437685,1.3246324717639215,1.2017042295315945,1.3071959211376696,1.7984149539839995
26,7.130728461513273,1.3156268746348334,1.1970540578924194,1.3064038839255478,1.7828787991422719
27,7.129089331994746,1.3055875807716584,1.1940774454802114,1.3029888351731576,1.7750324396982955
28,2.6861656353054784,1.2984335603454575,1.1906022413099535,1.299301513775099,1.7750324396982955
29,2.68496647886095,1.2956969047988671,1.1887492320194633,1.2976710553025048,1.7750324396982955
30,2.423003658616519,1.2783896738484442,1.1838416085980272,1.2965693924018464,1.7608433440481475
